Word                Count
cross                3
crossed              3
crossly              1
crouched             1
crowd                4
crowded              7
crown                3
cruel                1
crumbs               4
crust                1
cry                  4
crying               2
cucumber             2
cun                  1
cup                  2
cupboards            2
cur                  1
curiosity            5
curious             21
curiouser            4
curled               2
curls                1
curly                1
currants             1
current              1
curtain              1
curtsey              1
curtseying           1
curving              1
cushion              2
custard              1
custody              2
cut                  5
cute                 1
cutting              1
d                   32
dainties             1
daisies              1
daisy                1
damage               2
damaged              1
damages              4
dance               13
dancing              2
dare                 4
daresay              2
dark                 3
darkness             1
data                 1
date                 3
dates                1
daughter             1
day                 30
days                 8
de                   1
dead                 5
deal                12
dear                29
dears                3
death                1
decided              3
decidedly            4
declare              2
declared             1
deductible           1
deeds                1
deep                 7
deepest              1
deeply               4
defect               3
defective            3
deft                 1
delay                1
deletions            1
delight              3
delighted            2
delightful           2
demand               1
demn                 1
denied               2
denies               1
deny                 2
denying              1
depends              2
derision             1
derivative           3
derive               1
derived              1
described            1
deserved             1
desk                 1
desks                1
despair              1
desperate            1
desperately          1
despite              1
destroy              2
detach               1
determine            1
diamonds             1
did                 62
didn                14
die                  1
died                 1
different           10
difficult            2
difficulties         1
difficulty           4
dig                  1
digging              4
digital              2
diligently           1
dinah               15
dinn                 2
dinner               2
dipped               2
direct               1
directed             2
direction            5
directions           3
directly             3
disagree             1
disappeared          2
disappointment       1
disclaim             1
disclaimer           3
disclaimers          1
discontinue          1
discover             1
discovered           1
disgust              1
dish                 4
dishes               2
disk                 1
dismay               1
disobey              1
display              1
displayed            1
displaying           4
dispute              2
distance             8
distant              2
distraction          1
distribute           6
distributed          6
distributing         7
distribution         6
distributor          1
dive                 1
do                  97
dobson               3
dodged               1
dodo                13
does                11
doesn               17
dog                  3
dogs                 3
doing                8
domain               2
don                 61
donate               5
donation             1
donations           15
done                16
donors               1
door                30
doors                2
doorway              2
dormouse            40
dose                 1
doth                 3
double               2
doubled              1
doubleday            1
doubling             1
doubt                4
doubtful             2
doubtfully           2
down                107
downloading          1
downwards            2
dozing               1
draggled             1
drained              1
draped               1
draw                 7
drawing              1
drawling             3
dreadful             2
dreadfully           6
dream                8
dreamed              1
dreaming             1
dreams               1
dreamy               2
dressed              1
drew                 8
dried                1
driest               1
drink                7
drinking             1
dripping             1
drive                2
drop                 1
dropped              5
dropping             1
drowned              1
